Source,Industry,Hygiene_Score,Soul_Score,Primary_Flaw,Critique,Filename
Hue,Construction,9,3,Unknown,,temp_slices/Hue_Construction/Hue_Construction_01.png
Hue,Construction,0,0,Unknown,,temp_slices/Hue_Construction/Hue_Construction_02.png
Hue,Construction,9,3,Unknown,,temp_slices/Hue_Construction/Hue_Construction_03.png
Hue,Construction,9,2,Unknown,,temp_slices/Hue_Construction/Hue_Construction_04.png
Hue,Construction,9,3,Unknown,,temp_slices/Hue_Construction/Hue_Construction_05.png
Hue,Construction,0,0,Unknown,,temp_slices/Hue_Construction/Hue_Construction_06.png
Hue,Construction,0,0,Unknown,,temp_slices/Hue_Construction/Hue_Construction_07.png
Hue,Construction,10,3,Unknown,,temp_slices/Hue_Construction/Hue_Construction_08.png
Hue,Construction,9,3,Unknown,,temp_slices/Hue_Construction/Hue_Construction_09.png
Hue,Construction,0,0,Unknown,,temp_slices/Hue_Construction/Hue_Construction_10.png
Hue,Construction,10,2,Unknown,,temp_slices/Hue_Construction/Hue_Construction_11.png
a"
